,city,page_link,sleeps,area_sqm,bedrooms,bathroom,price,currency
49,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/quintinie-blue-note-2852/,2,17,studio,1,75,€
50,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/beaubourg-rambuteau-2539/,3,50,1,1,41,€
51,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/thiere-studio-19620/,2,33,studio,1,63,€
52,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/lauriston-studio-18045/,2,40,studio,1,75,€
53,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/la-bruyere-saint-georges-16346/,6,55,2,1,36,€
54,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/grand-louvre-7419/,8,91,3,2,60,€
55,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/gavidia-1730/,4,45,1,1,22,€
56,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/alma-eiffel-tower-15676/,4,60,1,1,86,€
57,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/trocadero-kleber-16852/,5,110,2,2,84,€
58,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/berri-18048/,4,40,1,1,45,€
59,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/mouffetard-18144/,4,32,1,1,36,€
60,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/studio-classic-odeon-19193/,3,19,studio,1,39,€
61,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/little-boulanger-studio--19454/,2,16,studio,1,42,€
62,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/studio-bievre-st-germain-23355/,2,18,studio,1,74,€
63,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/saintonge-marais-24785/,4,33,1,1,40,€
64,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/quintinie-moka-2851/,2,20,studio,1,85,€
65,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/boulevard-raspail-15677/,6,180,3,2,90,€
66,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/champs-elysees-15678/,4,135,2,2,118,€
67,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/eiffel-tower-alma-15681/,7,180,3,2,103,€
68,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/eiffel-tower-suffren-15689/,4,75,2,1,135,€
69,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/louvre-st-honore-15698/,4,100,2,2,100,€
70,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/palais-des-congres-15705/,5,145,2,2,81,€
71,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/rue-saint-honore-15715/,2,40,studio,1,120,€
72,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/tuileries-garden-palace-15719/,6,127,3,2,139,€
73,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/carreau-du-temple-marais-16157/,4,73,1,1,48,€
74,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/mini-loft-parisien-roquette-16159/,3,30,studio,1,39,€
75,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/loft-architecte-parisien-baron-16347/,4,40,1,1,24,€
76,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/studio-eiffel-bir-hakeim-16349/,3,35,1,1,55,€
77,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/studio-montorgueil-pompidou-16350/,2,22,studio,1,80,€
78,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/bastille-marais-16847/,2,55,1,1,109,€
79,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/la-defense-neuilly-16848/,3,60,1,1,78,€
80,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/lecrin-17736/,4,50,1,2,46,€
81,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/chaillot-18033/,2,25,studio,1,69,€
82,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/modern-montorgueil-studio-18035/,2,23,studio,1,66,€
83,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/poncelet-18038/,3,32,studio,1,42,€
84,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/monceau-18042/,5,55,2,1,41,€
85,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/studio-seine-odeon-18096/,2,25,1,1,64,€
86,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/saint-honore-studio-18140/,4,32,studio,1,38,€
87,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/loft-marais-atelier-18244/,4,100,2,2,61,€
88,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/duplex-marais-greneta-18245/,6,180,5,3,53,€
89,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/loft-marais-sebastopol-18322/,8,100,3,2,35,€
90,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/maison-duplex-luxembourg-18536/,6,75,2,1,45,€
91,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/trocadero-terrace-18590/,4,75,2,1,86,€
92,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/montmartre-del-sarte-cosy-18651/,2,25,studio,1,51,€
93,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/le-secret-du-bastille-18696/,4,30,1,1,31,€
94,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/studio-en-isle-18699/,4,27,studio,1,33,€
95,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/le-merlot-du-marais-18702/,4,30,1,1,35,€
96,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/encore-on-the-square-18712/,2,16,studio,1,45,€
97,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/le-diamant-en-isle-18713/,4,29,studio,1,30,€
98,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/le-gourmet-du-marais-18714/,4,50,1,1,49,€
99,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/le-charme-du-marais-18922/,4,45,1,1,40,€
100,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/le-jardin-du-marais-18928/,4,35,1,1,38,€
101,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/le-triomphe-elysees-18929/,4,50,1,1,36,€
102,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/le-marche-elysees-18934/,4,50,1,1,44,€
103,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/le-voyage-en-isle-18935/,4,29,1,1,35,€
104,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/le-balcon-notre-dame-18937/,4,65,2,1,79,€
105,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/la-terrasse-du-sorbonne-18938/,5,60,2,1,35,€
106,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/marais-1--18954/,4,43,1,1,8,€
107,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/marais-2-18955/,6,85,2,1,5,€
108,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/marais-3-18956/,4,39,1,1,6,€
109,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/color-monge-19453/,5,62,2,1,52,€
110,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/claridge-19458/,4,55,1,1,57,€
111,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/marceau-duplex-19460/,5,47,1,1,38,€
112,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/balzac-19465/,4,30,studio,1,30,€
113,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/blanche-19665/,6,94,1,2,44,€
